,,PRP$,0.010174248625891709
,,CD,0.004093088527657584
,,DT,0.2341246637820138
,,NNP,0.341480528593147
,,VBN,0.0019880715705765406
,,PRP,0.22137761665302305
,,IN,0.03192609051572915
,,WRB,0.015319845632089815
,,VB,0.003508361595135072
,,NN,0.016723190270143844
,,JJ,0.017775698748684364
,,RB,0.015904572564612324
,,NNS,0.014267337153549293
,,WP,0.033329435153783185
,,WDT,0.0036253069816395743
,,MD,0.003976143141153081
,,``,0.0002338907730090048
,,VBP,0.0019880715705765406
,,EX,0.013565664834522278
,,TO,0.004794760846684599
,,VBZ,0.0025727985030990527
,,JJS,0.0009355630920360191
,,RBR,0.0003508361595135072
,,PDT,0.0012863992515495264
,,JJR,0.0003508361595135072
,,VBG,0.0025727985030990527
,,.,0.0001169453865045024
,,CC,0.0009355630920360191
,,$,0.0002338907730090048
,,VBD,0.0003508361595135072
,,NNPS,0.0001169453865045024
,PRP$,NNS,0.19540229885057472
,PRP$,NN,0.7011494252873564
,PRP$,JJ,0.05747126436781609
,PRP$,DT,0.011494252873563218
,PRP$,MD,0.022988505747126436
,PRP$,VBZ,0.011494252873563218
PRP$,NNS,VBP,0.21348314606741572
PRP$,NNS,NN,0.056179775280898875
PRP$,NNS,DT,0.056179775280898875
PRP$,NNS,CC,0.0898876404494382
PRP$,NNS,VBD,0.1797752808988764
PRP$,NNS,NNP,0.033707865168539325
PRP$,NNS,TO,0.07865168539325842
PRP$,NNS,'',0.011235955056179775
PRP$,NNS,VB,0.011235955056179775
PRP$,NNS,IN,0.15730337078651685
PRP$,NNS,MD,0.02247191011235955
PRP$,NNS,VBN,0.02247191011235955
PRP$,NNS,VBZ,0.033707865168539325
PRP$,NNS,RBR,0.011235955056179775
PRP$,NNS,,0.011235955056179775
PRP$,NNS,JJ,0.011235955056179775
NNS,VBP,VB,0.017543859649122806
NNS,VBP,VBG,0.04678362573099415
NNS,VBP,,0.3128654970760234
NNS,VBP,DT,0.08771929824561403
NNS,VBP,VBZ,0.005847953216374269
NNS,VBP,RB,0.038011695906432746
NNS,VBP,JJ,0.12280701754385964
NNS,VBP,CC,0.005847953216374269
NNS,VBP,PRP,0.02046783625730994
NNS,VBP,IN,0.05263157894736842
NNS,VBP,VBN,0.08771929824561403
NNS,VBP,NN,0.09064327485380116
NNS,VBP,TO,0.049707602339181284
NNS,VBP,NNS,0.02046783625730994
NNS,VBP,NNP,0.014619883040935672
NNS,VBP,VBP,0.0029239766081871343
NNS,VBP,PRP$,0.005847953216374269
NNS,VBP,MD,0.0029239766081871343
NNS,VBP,RBR,0.0029239766081871343
NNS,VBP,WP,0.0029239766081871343
NNS,VBP,VBD,0.008771929824561403
VBP,VB,DT,0.3548387096774194
VBP,VB,,0.07526881720430108
VBP,VB,NN,0.08602150537634409
VBP,VB,IN,0.12903225806451613
VBP,VB,NNP,0.043010752688172046
VBP,VB,VBN,0.021505376344086023
VBP,VB,WDT,0.053763440860215055
VBP,VB,PRP,0.08602150537634409
VBP,VB,NNS,0.043010752688172046
VBP,VB,RB,0.021505376344086023
VBP,VB,VB,0.03225806451612903
VBP,VB,WRB,0.021505376344086023
VBP,VB,WP,0.03225806451612903
VB,DT,JJ,0.06569343065693431
VB,DT,RBR,0.014598540145985401
VB,DT,JJR,0.0072992700729927005
VB,DT,NN,0.7854014598540145
VB,DT,NNS,0.07007299270072993
